method,scene,n_views,lpips,dists,fid,psnr,ssim,size_mb
2dgs_textured,bicycle,25,0.40345049142837525,0.14333698987960816,26.05846944424249,23.30626365661621,0.6254110495234962,88.03
2dgs_textured,bonsai,37,0.2848951353414639,0.11167958781525895,71.76963126957293,28.12002424291662,0.8795327229957222,19.9
2dgs_textured,counter,30,0.27090803732474644,0.08785808285077414,77.93216364906479,27.001907285054525,0.8472284362198991,19.45
2dgs_textured,flowers,22,0.5215611024336382,0.21027337150140243,152.1732038207807,19.801570285450328,0.46066063564221954,53.52
2dgs_textured,garden,24,0.3026931981245677,0.12045870969692866,25.629806138462612,25.395520130793255,0.7535803577085681,78.26
2dgs_textured,kitchen,35,0.19651874133518765,0.07269564185823713,27.63671761409927,28.004987553187778,0.8791956912633294,28.96
2dgs_textured,room,39,0.250042356359653,0.09599558359537369,46.09934919070071,30.59962639441857,0.9057386572018274,23.24
2dgs_textured,stump,16,0.4258539695292711,0.17937713488936424,134.16327298391516,23.88487958908081,0.6377186878772759,75.1
2dgs_textured,treehill,18,0.5139933245049583,0.2486176292101542,82.16248485841396,22.403581407335068,0.5692058837157528,56.33
2dgs_textured_crn_wd,bicycle,25,0.3402276015281677,0.06285855531692505,11.062061481595975,20.522851715087892,0.4042698099979713,88.03708400000001
2dgs_textured_crn_wd,bonsai,37,0.23875268770230784,0.05936512431582889,37.82265098579228,24.91136782878154,0.697483330596816,19.907083999999998
2dgs_textured_crn_wd,counter,30,0.24931360979874928,0.04862070878346761,38.300987277022216,24.278248405456544,0.6797465452095466,19.457084
2dgs_textured_crn_wd,flowers,22,0.41710335422645917,0.09721458500081842,35.50354925555442,16.920306769284334,0.2987755835979471,53.527084
2dgs_textured_crn_wd,garden,24,0.24918084715803465,0.040784512956937156,13.882180944191845,22.336268266042072,0.5232616996673143,78.26708400000001
2dgs_textured_crn_wd,kitchen,35,0.2006478330918721,0.04961107288088117,19.722669706163202,24.286358969552175,0.7030677046430425,28.967084
2dgs_textured_crn_wd,room,39,0.21545260953597534,0.060421981872656405,24.566410778061595,27.793889901576897,0.7833494664106672,23.247083999999997
2dgs_textured_crn_wd,stump,16,0.4005170613527298,0.11345888674259186,56.83580550021691,21.398879408836365,0.42509553071700146,75.107084
2dgs_textured_crn_wd,treehill,18,0.39539379212591386,0.09050200714005364,20.48752441875311,19.854795667860245,0.370973156131559,56.337084
