method,rate,scene,fid,cmmd,n_fake_patches,n_ref_patches
3DCR,high,bicycle,20.843388574235235,0.15282630920410156,975,975
3DCR,high,bonsai,21.506600428075558,0.13697147369384766,1443,1443
3DCR,high,counter,43.777211732072146,0.3434419631958008,1170,1170
3DCR,high,flowers,33.37874573936358,0.37348270416259766,858,858
3DCR,high,garden,19.682096937194387,0.1188516616821289,936,936
3DCR,high,kitchen,24.631813846536716,0.09226799011230469,1131,1131
3DCR,low,bicycle,27.174675747338824,0.23496150970458984,975,975
3DCR,low,bonsai,32.94959942996462,0.286102294921875,1443,1443
3DCR,low,counter,62.191912934100515,0.6657838821411133,1170,1170
3DCR,low,flowers,42.67985898600335,0.6356239318847656,858,858
3DCR,low,garden,31.456166761051804,0.4571676254272461,936,936
3DCR,low,kitchen,37.24576650339873,0.209808349609375,1131,1131
3DCR,mid,bicycle,23.733580070809182,0.17189979553222656,975,975
3DCR,mid,bonsai,25.927100363593354,0.1914501190185547,1443,1443
3DCR,mid,counter,49.06912669022972,0.41997432708740234,1170,1170
3DCR,mid,flowers,36.89396285919611,0.4742145538330078,858,858
3DCR,mid,garden,24.698073843725865,0.27883052825927734,936,936
3DCR,mid,kitchen,30.063083179440866,0.12934207916259766,1131,1131
Orig,high,bicycle,47.89525100549446,0.4444122314453125,975,975
Orig,high,bonsai,47.5135279161953,0.49626827239990234,1443,1443
Orig,high,counter,79.1806513739773,0.7147789001464844,1170,1170
Orig,high,flowers,101.25198968358671,1.1957883834838867,858,858
Orig,high,garden,45.71166261392591,0.21910667419433594,936,936
Orig,high,kitchen,37.92812236561457,0.21219253540039062,1131,1131
Orig,low,bicycle,99.20635533637596,1.3585090637207031,975,975
Orig,low,bonsai,71.69350142572489,0.7762908935546875,1443,1443
Orig,low,counter,110.72641637075532,1.295924186706543,1170,1170
Orig,low,flowers,142.29894493394056,1.7107725143432617,858,858
Orig,low,garden,112.32250074129308,1.1839866638183594,936,936
Orig,low,kitchen,69.44638302866281,0.5066394805908203,1131,1131
Orig,mid,bicycle,68.81152212175596,0.7838010787963867,975,975
Orig,mid,bonsai,57.68068399642931,0.6202459335327148,1443,1443
Orig,mid,counter,92.9813633165399,0.9795427322387695,1170,1170
Orig,mid,flowers,118.06959988212463,1.4454126358032227,858,858
Orig,mid,garden,70.74178105692033,0.5270242691040039,936,936
Orig,mid,kitchen,51.132368296052505,0.33533573150634766,1131,1131
wdr_pw,high,bicycle,23.457034701353052,0.12969970703125,975,975
wdr_pw,high,bonsai,22.53377440604197,0.1691579818725586,1443,1443
wdr_pw,high,counter,45.17355634502064,0.28204917907714844,1170,1170
wdr_pw,high,flowers,41.70700075328921,0.3859996795654297,858,858
wdr_pw,high,garden,21.789541439329128,0.07486343383789062,936,936
wdr_pw,high,kitchen,24.2975724244302,0.06711483001708984,1131,1131
wdr_pw,low,bicycle,33.3263374603938,0.39899349212646484,975,975
wdr_pw,low,bonsai,37.003484642053024,0.25904178619384766,1443,1443
wdr_pw,low,counter,60.56938381596069,0.47981739044189453,1170,1170
wdr_pw,low,flowers,57.945454363265696,0.7108449935913086,819,858
wdr_pw,low,garden,33.75025006229697,0.3559589385986328,936,936
wdr_pw,low,kitchen,40.654134480413745,0.1430511474609375,1131,1131
wdr_pw,mid,bicycle,27.495388356210867,0.20885467529296875,975,975
wdr_pw,mid,bonsai,29.12307943858457,0.20170211791992188,1404,1443
wdr_pw,mid,counter,53.118696162383,0.3873109817504883,1170,1170
wdr_pw,mid,flowers,47.53096765335522,0.4934072494506836,858,858
wdr_pw,mid,garden,27.411561499760637,0.1481771469116211,936,936
wdr_pw,mid,kitchen,30.712147838094552,0.08594989776611328,1131,1131
