method,group,fid_mean,cmmd_mean,n_scenes
perceptual,all9,36.29192657881535,0.29354625278049046,9
perceptual,indoor,38.41910578351499,0.26738643646240234,4
perceptual,outdoor,34.59018321505563,0.31447410583496094,5
perceptual_3dcr,all9,25.27407689205011,0.18923812442355686,9
perceptual_3dcr,indoor,24.80251793267837,0.10031461715698242,4
perceptual_3dcr,outdoor,25.651324059547505,0.2603769302368164,5
