method,group,fid_mean,cmmd_mean,n_scenes
perceptual,all9,36.40795369847168,0.2616776360405816,9
perceptual,indoor,33.05100703761231,0.24363398551940918,4
perceptual,outdoor,39.093511027159174,0.27611255645751953,5
perceptual_3dcr,all9,23.282891657035787,0.20125177171495226,9
perceptual_3dcr,indoor,19.373601841265454,0.13083219528198242,4
perceptual_3dcr,outdoor,26.410323509652052,0.2575874328613281,5
