method,rate,group,fid_mean,cmmd_mean,n_scenes
HACplus+CR,high,all9,16.421641749266396,0.03906091054280599,9
HACplus+CR,high,indoor,14.654531228091003,0.03466010093688965,4
HACplus+CR,high,outdoor,17.83533016620671,0.04258155822753906,5
HACplus+CR,low,all9,21.87440248659378,0.07983048756917317,9
HACplus+CR,low,indoor,21.436145336098036,0.07683038711547852,4
HACplus+CR,low,outdoor,22.225008206990378,0.0822305679321289,5
HACplus+CR,mid,all9,18.217987420053014,0.044372346666124135,9
HACplus+CR,mid,indoor,17.795851276510355,0.046312808990478516,4
HACplus+CR,mid,outdoor,18.55569633488714,0.042819976806640625,5
