method,rate,metric,bicycle,bonsai,counter,flowers,garden,kitchen,room,stump,treehill,pooled
3DCR,high,musiq_mean,71.47497573852539,61.62121664511191,60.52831344604492,73.57294290715998,72.92855040232341,68.29680949619838,51.98038423978365,60.25238847732544,60.8421507941352,63.936662658443296
3DCR,high,maniqa_mean,0.34339601755142213,0.24618856649141055,0.2692703704039256,0.3442856005646966,0.40352167810002965,0.323672149011067,0.2593902872923093,0.2674985146149993,0.2848628345463011,0.3003375840380909
3DCR,high,clipiqa_mean,0.41680601716041565,0.30552727668672,0.3553000330924988,0.5899578549645164,0.6082857213914394,0.4059962340763637,0.3238842540826553,0.374008821323514,0.4194732738865746,0.40787644290584857
3DCR,high,niqe_mean,2.3471792657128514,5.196408690366848,3.7047410543014596,2.0806847945753075,2.0182563820005273,3.8239387871709734,4.107632288846401,3.2757476709576774,2.5125496335441433,3.4470545789399147
3DCR,high,fid,9.372615051367603,14.784367034614746,25.936721119782135,25.42650988815869,9.794704858534686,9.0569552025255,12.617968719153225,40.41936240878158,17.608166752248252,13.007550343024604
3DCR,high,fid_patch,17.065236677747976,16.138872477349764,31.13616824317296,33.27376505274253,14.382273323672393,17.08041588084285,26.60786196544575,31.3074904048986,30.570584662019485,6.349987304622232
3DCR,mid,musiq_mean,70.88886444091797,61.14877422435863,59.98918418884277,73.58019638061523,72.80077934265137,68.06980863298689,51.59897985213842,60.36257004737854,59.681945376925995,63.557985615924125
3DCR,mid,maniqa_mean,0.331817764043808,0.24443676060921438,0.2621183251341184,0.33147970654747705,0.3835097836951415,0.32306750757353647,0.26429343070739353,0.26712346263229847,0.28236740496423507,0.2954119414817996
3DCR,mid,clipiqa_mean,0.4321698427200317,0.30787826430153203,0.3687961339950562,0.6043740158731287,0.6391978412866592,0.4068336137703487,0.34801133855795247,0.39881026931107044,0.4493534283505546,0.4234859638703548
3DCR,mid,niqe_mean,2.4876143449574575,4.25358892820852,3.8669440813913343,2.1563872830054653,2.1474626114878235,3.744809699518802,3.5827651448745392,3.2713683504599538,2.5060293422779614,3.2634459195644205
3DCR,mid,fid,10.155355171040554,19.94947674447704,30.616992390441226,22.980942410756512,12.34298102783174,13.611692134885686,15.817499777407079,47.733195950720756,15.609701923398319,15.356644063743659
3DCR,mid,fid_patch,20.086748054735324,20.377574589569917,35.17356160356769,37.486569884323444,19.434774457167748,20.945635750013935,28.75891647289376,30.733885748359683,32.47612688496844,7.413647509437055
3DCR,low,musiq_mean,70.39658813476562,60.525699718578444,58.11297607421875,72.97548155351119,72.01132424672444,67.97960848127093,49.539481921073715,59.3319194316864,56.96591928270128,62.4492300855435
3DCR,low,maniqa_mean,0.32638261675834657,0.23876356192537257,0.2490838959813118,0.32528476823459973,0.36492982506752014,0.3200101673603058,0.2610575904448827,0.25741987209767103,0.2794499033027225,0.2882574507739486
3DCR,low,clipiqa_mean,0.47957281112670896,0.3306298344521909,0.37474340498447417,0.6133455742489208,0.6208790863553683,0.40392598594938006,0.3245023779380016,0.4369720872491598,0.47946291002962327,0.43201022371044
3DCR,low,niqe_mean,2.527362511668569,4.694745897612285,3.8620121450967138,2.0336816496960206,2.095907984577005,3.7022694592237535,3.399852393869495,3.425465217286117,2.5603375890605866,3.296178893466833
3DCR,low,fid,11.942332649340557,24.798899652715363,41.98502966772469,28.991954734565553,14.66199639088731,18.719125566376846,23.244005394604415,55.37738693857315,20.883392967420264,19.79864109262809
3DCR,low,fid_patch,23.602803209497836,26.098009682000793,45.71305964221892,45.35067149844156,25.234664945731197,27.2977560661177,35.32887301729795,39.88607964240268,43.19361713247497,10.55868955734121
Orig,high,musiq_mean,68.09349624633789,59.65737399539432,56.43265342712402,66.42713789506392,72.49941698710124,66.46522652762276,50.80443005684094,58.22153949737549,55.33966276380751,61.13551687225094
Orig,high,maniqa_mean,0.3403696525096893,0.2738649680002316,0.2786171868443489,0.2937279126860879,0.37942884117364883,0.33518928119114466,0.29089280045949495,0.28047200478613377,0.28162941833337146,0.30570078320134947
Orig,high,clipiqa_mean,0.4515531599521637,0.39333097918613535,0.39181962807973225,0.5413061366839842,0.5467365495860577,0.42802893349102566,0.3718096354068854,0.42125830985605717,0.42979680332872605,0.4332729273937582
Orig,high,niqe_mean,2.946246313945437,4.944287221646919,4.5216365897290265,3.0945134913266448,2.559953802771527,4.428296403228337,5.162147693917526,3.685284843530915,3.341501548953235,4.053608903945421
Orig,high,fid,14.209908260084688,27.60824790346132,47.37918570272768,57.59407205375672,12.680143646684513,11.527160867142328,24.730611990445993,72.39438686321631,27.518291037636118,23.63110536682626
Orig,high,fid_patch,61.62529549728578,44.20723906624295,63.18148446536469,139.8798761158198,40.57149799718297,28.93409694634255,62.1511574457661,83.60061256420462,157.08726915802396,33.89405652382197
Orig,mid,musiq_mean,68.95527130126953,57.15354754473712,53.55637715657552,65.4105167388916,71.55241839090984,64.21553595406668,47.80893682822203,57.12741732597351,53.90549892849393,59.34135657985036
Orig,mid,maniqa_mean,0.35095802307128904,0.26429211368431915,0.2682467261950175,0.28765397654338315,0.37176672120889026,0.3227663789476667,0.28728328530605024,0.27877502609044313,0.2742443374461598,0.2997911351361895
Orig,mid,clipiqa_mean,0.43614659667015077,0.3953356887843158,0.37372909585634867,0.5157927545634183,0.5112039136389891,0.4034859938280923,0.35615176803026444,0.38884015567600727,0.3931560566027959,0.4132905408618896
Orig,mid,niqe_mean,3.285185320422517,5.222914655393188,4.982824858944952,3.518781559152403,2.8858272079532488,4.491363986776203,6.105713195348383,3.9855651871852125,4.10524471815537,4.4899157333260336
Orig,mid,fid,18.463169325360013,39.04806760862655,64.49530073672219,68.99829352040578,19.518826032382748,18.579961137753457,38.23563123077281,118.27878791342675,41.46512733602381,33.70258186639478
Orig,mid,fid_patch,101.38866626296158,55.500496491755314,75.75202955454984,167.94069702321644,70.33469404621036,42.34579191373098,89.21986661887036,144.60842899347614,219.26593607771105,52.214927680364326
Orig,low,musiq_mean,68.25013626098632,53.25412657454207,49.9748597462972,61.8490930037065,70.32558218638103,60.84895030430385,44.23596993470803,54.10311317443848,51.94624370998807,56.42274059512751
Orig,low,maniqa_mean,0.34549004793167115,0.2540287270739272,0.2543257176876068,0.26453920250589197,0.37003565082947415,0.30367724214281355,0.27699424975957626,0.2679751254618168,0.2717418645819028,0.28852535972023396
Orig,low,clipiqa_mean,0.40443620324134827,0.38990319177911087,0.33924467166264854,0.47071163627234375,0.4838973681131999,0.3807774552277156,0.3372517847097837,0.3279998581856489,0.3475697355137931,0.3848298360419467
Orig,low,niqe_mean,3.8703323404910988,5.518358118756094,5.62205657502635,4.060693225351642,3.3482004435316024,4.684812647027297,6.7910433096919105,4.411359141423463,5.054535577361415,4.9986741306453615
Orig,low,fid,30.994878792500344,53.247378395199746,83.69273710945299,81.34227587595393,26.298122318076196,29.513416862555857,74.83699591730254,179.63012868229123,64.72025714932133,49.809378340189426
Orig,low,fid_patch,165.38872601405689,70.1787688820848,91.3425029848122,206.76984130712975,127.01088445375228,61.30036221633577,105.73597022585454,224.02951969322606,291.97053792807185,78.50732483845104
HACplus+CR,high,musiq_mean,71.55234985351562,61.05324647233293,60.897470219930014,73.62909039584073,73.17001120249431,67.63237707955497,52.30440579927885,60.461376428604126,60.82219526502821,63.90166581936968
HACplus+CR,high,maniqa_mean,0.34222718358039855,0.24203105190315763,0.26395213852326077,0.3430860137397593,0.3956417106091976,0.319182653938021,0.25832998485137254,0.27476199716329575,0.2836400700940026,0.2976449655929232
HACplus+CR,high,clipiqa_mean,0.42908896803855895,0.32431895910082637,0.4249823570251465,0.5881131318482485,0.6218195830782255,0.3524580112525395,0.34296491474677354,0.3955512698739767,0.4288094292084376,0.4190963715678308
HACplus+CR,high,niqe_mean,2.37715411230666,4.557540690526245,3.602115782217185,2.250054595341895,1.991691363026608,3.903158679034095,4.5560365276156585,3.8078905849738676,2.598997270249682,3.477346765045096
HACplus+CR,high,fid,9.280151377985504,15.392113221158752,26.355564790736935,23.115200301311177,9.989216366542763,9.179325455672767,10.360045608847201,38.841392866919534,15.13045476838792,12.53724106435368
HACplus+CR,high,fid_patch,17.256030091244952,15.09085228981337,29.290200008566558,34.911490692611665,14.39808321189605,16.622180311478814,22.567350216814646,29.771047786615497,31.493580575489887,5.9838994032936625
HACplus+CR,mid,musiq_mean,71.62577392578125,60.98774729548274,58.401010513305664,73.58594408902255,73.05303923288982,67.4033315386091,51.40769557463817,60.48877835273743,60.14785597059462,63.357250477240335
HACplus+CR,mid,maniqa_mean,0.33942874789237976,0.23943915318798376,0.2397150491674741,0.3349231318994002,0.3871922592322032,0.31732368894985746,0.25251106650401384,0.2726165549829602,0.2844291776418686,0.2911918404383388
HACplus+CR,mid,clipiqa_mean,0.45243786454200746,0.32532776167263855,0.3912645936012268,0.5926119034940546,0.5712134130299091,0.4305810672896249,0.33113471666971844,0.3778729420155287,0.4443589631054137,0.4222016874246481
HACplus+CR,mid,niqe_mean,2.319827279388797,4.458192373189187,3.734702852701327,2.3653648964580998,2.3191680634923304,3.8925258365781548,4.778037115308343,3.634391732630685,2.7080534034621775,3.5453862901679862
HACplus+CR,mid,fid,9.513614795685726,16.30601723931082,35.73789431830744,24.15554253712598,10.482355650865031,10.348690149512038,12.574776818774467,38.854483239161766,16.723145379153266,14.18461551202239
HACplus+CR,mid,fid_patch,17.448126878688754,16.428317734612165,39.83601497501212,36.809598606857776,17.192308553931753,17.969691916042507,25.386767310857408,29.58893903373871,36.01968088830313,7.074579050453735
HACplus+CR,low,musiq_mean,70.18780487060548,60.22360136702254,57.877729924519855,72.8577554876154,72.34583950042725,66.86019526890345,50.21186584081405,59.73146963119507,57.008376863267685,62.35241844983605
HACplus+CR,low,maniqa_mean,0.3301165747642517,0.23509567694084063,0.24483189682165782,0.3267340131781318,0.3641243490080039,0.3114134192466736,0.25659773479669523,0.26431525591760874,0.2842879179451201,0.286490048516572
HACplus+CR,low,clipiqa_mean,0.4775264656543732,0.33630914301485626,0.38812298079331714,0.604792448607358,0.5866866732637087,0.3890827706881932,0.31832506908820224,0.4284197650849819,0.48226360314422184,0.4267448745970804
HACplus+CR,low,niqe_mean,2.510074584127131,4.989508187263091,3.8669089504644445,2.403500414767457,2.2046418195831907,3.820195457408543,4.829713335701518,3.7112104845749565,2.8027186687593986,3.6628183485091594
HACplus+CR,low,fid,10.464222877306383,21.74887262469153,36.34307014751553,28.646092223561197,14.371212381946748,15.369256654423566,18.235765109035867,45.697670349622086,23.045760613815304,17.441163729684092
HACplus+CR,low,fid_patch,23.48739848934565,22.551334260856493,41.44796994614626,47.74468814065392,25.70642114151184,25.223010218721925,31.084503706893315,35.732454190428854,54.665968092070614,10.253370216056055
HAC_ori,high,musiq_mean,69.0155485534668,59.39288814647777,56.70274327596029,64.87925442782316,72.34884961446126,65.96589769635882,50.60078997489734,57.77831196784973,54.678215662638344,60.88870716870316
HAC_ori,high,maniqa_mean,0.3450142991542816,0.27301499569738236,0.27650513748327893,0.28660804710604926,0.37612733989953995,0.3313144530568804,0.28381733672741133,0.2743691299110651,0.2828681187497245,0.30284924326631113
HAC_ori,high,clipiqa_mean,0.4582699239253998,0.3894796347295916,0.3915838927030563,0.535203909332102,0.5370990373194218,0.42195176907948084,0.36646549976789033,0.42233884520828724,0.43194785051875645,0.4303773313276167
HAC_ori,high,niqe_mean,2.953606872454376,4.90195478870069,4.419152408857966,3.1658269899467397,2.623445030299402,4.474054364922689,5.081760241455786,3.7398945501886938,3.3694427524573225,4.047425936184384
HAC_ori,high,fid,12.70151642422752,24.967712321036686,44.37675623861321,57.75149051614221,12.715405901241041,10.230091213761142,21.020313554219115,59.764478106527974,29.569736520528238,21.751534421311703
HAC_ori,high,fid_patch,61.61771779288006,42.15814406439347,59.584115379993136,146.81212515654363,44.55026758749608,27.3943378599821,58.106877526708445,81.31076236643196,168.7187401773188,34.050724853758254
HAC_ori,mid,musiq_mean,68.3319319152832,58.33377827824773,55.035012308756514,64.35990888422185,71.86378065745036,64.96816177368164,49.105103712815506,57.47220325469971,53.46613057454427,59.87511180474506
HAC_ori,mid,maniqa_mean,0.34439992666244507,0.26898494644744975,0.27096272905667623,0.2789964384653352,0.3725316971540451,0.32510849833488464,0.28421600239399153,0.277245263569057,0.2752927558289634,0.29928626338156256
HAC_ori,mid,clipiqa_mean,0.45476213216781614,0.3918663521070738,0.3773436665534973,0.531136229634285,0.5263079156478246,0.4139882130282266,0.3570290750417954,0.41764566488564014,0.4150100648403168,0.42305300221210573
HAC_ori,mid,niqe_mean,3.215492420747143,5.058440473263841,4.666105902315357,3.3987788020692618,2.7952768384639497,4.511533325079424,5.492745369257406,3.8703776852256158,3.751899451936074,4.272250129044056
HAC_ori,mid,fid,13.831057927491372,27.733718916721728,50.909557188006715,62.396322942983915,14.78512178503837,13.275723755328045,26.575897323871686,69.28226042562349,32.18638935167215,24.98361246467789
HAC_ori,mid,fid_patch,81.22225870773963,45.57663707897427,66.38448909363728,161.6342536416592,62.73056993076301,32.94454308617941,69.57836459829514,106.81544137564248,213.84766175664208,43.315950062414686
HAC_ori,low,musiq_mean,67.58362777709961,52.85528141743428,48.943516159057616,59.10531789606268,69.11864598592122,60.09272689819336,44.779259608342095,54.56002426147461,50.496754540337456,55.708311484112
HAC_ori,low,maniqa_mean,0.3417784595489502,0.25110262310182724,0.24456843435764314,0.2535863146185875,0.368890892714262,0.3002060047217778,0.2707665761311849,0.2735613211989403,0.2746983932124244,0.2845254096437276
HAC_ori,low,clipiqa_mean,0.41550272941589356,0.3838796003444775,0.32425720791021984,0.4704600206830285,0.48683617388208705,0.37700540593692233,0.3281131035242325,0.3614163640886545,0.35530482563707566,0.38423889124296545
HAC_ori,low,niqe_mean,3.9526618762644103,5.51546791817351,5.6856953461040405,4.108545136083561,3.4618983644383796,4.718517240222425,6.713196296776405,4.301659619036416,4.92149576173299,5.005323213822569
HAC_ori,low,fid,22.349454482189856,45.0765072939501,76.62984762673764,76.9530812078973,23.315874374546667,23.433259146027524,55.990842277410934,111.09641044479571,48.75908398973819,39.86664101575167
HAC_ori,low,fid_patch,150.79096788087986,64.80712173803647,96.44031652646203,207.89185889043318,149.46491694623205,57.39874301062537,98.82903982205914,186.13890703163148,299.7788293948133,76.63808133330656
