method,rate,group,fid_mean,cmmd_mean,n_scenes
3DCR,high,all9,16.874854916640732,0.03719329833984375,9
3DCR,high,indoor,15.48516060129883,0.03579258918762207,4
3DCR,high,outdoor,17.986610368914256,0.038313865661621094,5
3DCR,low,all9,24.319032149320662,0.10818905300564235,9
3DCR,low,indoor,24.751850032025935,0.11646747589111328,4
3DCR,low,outdoor,23.972777843156443,0.10156631469726562,5
3DCR,mid,all9,19.381297545552357,0.05771054161919488,9
3DCR,mid,indoor,18.79277539225003,0.06216764450073242,4
3DCR,mid,outdoor,19.85211526819422,0.054144859313964844,5
HAC_ori,high,all9,33.9278818464056,0.35512447357177734,9
HAC_ori,high,indoor,27.384754603195226,0.1939833164215088,4
HAC_ori,high,outdoor,39.1623836409739,0.4840373992919922,5
HAC_ori,low,all9,66.5804872451077,0.8267031775580512,9
HAC_ori,low,indoor,57.35155246029026,0.5453228950500488,4
HAC_ori,low,outdoor,73.96363507296167,1.0518074035644531,5
HAC_ori,mid,all9,38.6141470317632,0.41951073540581596,9
HAC_ori,mid,indoor,31.837572672568726,0.23254752159118652,4
HAC_ori,mid,outdoor,44.03540651911878,0.5690813064575195,5
HACplus+CR,high,all9,16.417606740262087,0.039087401496039495,9
HACplus+CR,high,indoor,14.648553843047061,0.03471970558166504,4
HACplus+CR,high,outdoor,17.83284905803411,0.04258155822753906,5
HACplus+CR,low,all9,21.86973520493565,0.07987022399902344,9
HACplus+CR,low,indoor,21.429366794820425,0.0768899917602539,4
HACplus+CR,low,outdoor,22.222029933027834,0.08225440979003906,5
HACplus+CR,mid,all9,18.214111099479553,0.044465065002441406,9
HACplus+CR,mid,indoor,17.789316253678138,0.04646182060241699,4
HACplus+CR,mid,outdoor,18.553946976120688,0.04286766052246094,5
Orig,high,all9,35.71483447606516,0.3682110044691298,9
Orig,high,indoor,29.65554961920796,0.21922588348388672,4
Orig,high,outdoor,40.56226236155091,0.4873991012573242,5
Orig,low,all9,76.76878615319283,0.9816355175442166,9
Orig,low,indoor,62.42962526450412,0.6204545497894287,4
Orig,low,outdoor,88.2401148641438,1.2705802917480469,5
Orig,mid,all9,51.464715568052696,0.5643367767333984,9
Orig,mid,indoor,43.24355800071291,0.3559887409210205,4
Orig,mid,outdoor,58.04164162192453,0.7310152053833008,5
