dataset,method,rate,group,fid_mean,cmmd_mean,n_scenes
cat3dgs_w_wd_r,mid_rate_size3.2,,outdoor,61.747307351670656,1.1917829513549805,5
cat3dgs_w_wd_r,wdr_refine_15k_same_psnr_as_catpro,,all9,63.760534061961636,0.6158749262491862,9
cat3dgs_w_wd_r,wdr_refine_15k_same_psnr_as_catpro,,indoor,53.31296537421318,0.4210472106933594,4
cat3dgs_w_wd_r,wdr_refine_15k_same_psnr_as_catpro,,outdoor,72.1185890121604,0.7717370986938477,5
cat3dgs_w_wd_r,wdr_refinement_15k_highrate,,all9,29.972297030726686,0.23006068335639107,9
cat3dgs_w_wd_r,wdr_refinement_15k_highrate,,indoor,28.921405347572687,0.18066167831420898,4
cat3dgs_w_wd_r,wdr_refinement_15k_highrate,,outdoor,30.813010377249885,0.2695798873901367,5
cat3dgs_w_wd_r,wdr_refinement_15k_lowrate,,all9,45.55285173050723,0.4850625991821289,9
cat3dgs_w_wd_r,wdr_refinement_15k_lowrate,,indoor,43.33621485076564,0.3287196159362793,4
cat3dgs_w_wd_r,wdr_refinement_15k_lowrate,,outdoor,47.3261612343005,0.6101369857788086,5
cat3dgs_w_wd_r,wdr_refinement_15k_midrate,,all9,36.58256704600045,0.31816959381103516,9
cat3dgs_w_wd_r,wdr_refinement_15k_midrate,,indoor,35.52904956521344,0.2511441707611084,4
cat3dgs_w_wd_r,wdr_refinement_15k_midrate,,outdoor,37.42538103063006,0.37178993225097656,5
Perceptual_gs,perceptual,,all9,36.29192657881535,0.29354625278049046,9
Perceptual_gs,perceptual,,indoor,38.41910578351499,0.26738643646240234,4
Perceptual_gs,perceptual,,outdoor,34.59018321505563,0.31447410583496094,5
Perceptual_gs,perceptual_3dcr,,all9,25.27407689205011,0.18923812442355686,9
Perceptual_gs,perceptual_3dcr,,indoor,24.80251793267837,0.10031461715698242,4
Perceptual_gs,perceptual_3dcr,,outdoor,25.651324059547505,0.2603769302368164,5
