method,rate,scene,fid,cmmd,n_fake_patches,n_ref_patches
3DCR,high,bicycle,20.843388574235235,0.15282630920410156,975,975
3DCR,high,bonsai,21.506600428075558,0.13697147369384766,1443,1443
3DCR,high,counter,43.777211732072146,0.3434419631958008,1170,1170
3DCR,high,flowers,33.37874573936358,0.37348270416259766,858,858
3DCR,high,garden,19.682096937194387,0.1188516616821289,936,936
3DCR,high,kitchen,21.616493121858696,0.09036064147949219,1365,1365
3DCR,high,room,29.411534909650243,0.1876354217529297,1521,1521
3DCR,high,stump,26.418665766863228,0.6139278411865234,624,624
3DCR,high,treehill,29.28494823378844,0.3739595413208008,702,702
3DCR,low,bicycle,27.174675747338824,0.23496150970458984,975,975
3DCR,low,bonsai,32.94959942996462,0.286102294921875,1443,1443
3DCR,low,counter,62.191912934100515,0.6657838821411133,1170,1170
3DCR,low,flowers,42.67985898600335,0.6356239318847656,858,858
3DCR,low,garden,31.456166761051804,0.4571676254272461,936,936
3DCR,low,kitchen,32.93258129863375,0.2090930938720703,1365,1365
3DCR,low,room,39.14565152865231,0.41162967681884766,1521,1521
3DCR,low,stump,33.382589850274314,0.9542703628540039,624,624
3DCR,low,treehill,39.195938195617714,0.6500482559204102,702,702
3DCR,mid,bicycle,23.733580070809182,0.17189979553222656,975,975
3DCR,mid,bonsai,25.927100363593354,0.1914501190185547,1443,1443
3DCR,mid,counter,49.06912669022972,0.41997432708740234,1170,1170
3DCR,mid,flowers,36.89396285919611,0.4742145538330078,858,858
3DCR,mid,garden,24.698073843725865,0.27883052825927734,936,936
3DCR,mid,kitchen,26.422348528861335,0.12743473052978516,1365,1365
3DCR,mid,room,31.762321262845774,0.2554655075073242,1521,1521
3DCR,mid,stump,27.162930390812164,0.8146762847900391,624,624
3DCR,mid,treehill,31.812330352130004,0.42879581451416016,702,702
Orig,high,bicycle,47.89525100549446,0.4444122314453125,975,975
Orig,high,bonsai,47.5135279161953,0.49626827239990234,1443,1443
Orig,high,counter,79.1806513739773,0.7147789001464844,1170,1170
Orig,high,flowers,101.25198968358671,1.1957883834838867,858,858
Orig,high,garden,45.71166261392591,0.21910667419433594,936,936
Orig,high,kitchen,34.55553237094273,0.21708011627197266,1365,1365
Orig,high,room,57.280130537547336,0.5221366882324219,1521,1521
Orig,high,stump,57.61773914700166,0.9108781814575195,624,624
Orig,high,treehill,109.39837690267672,1.1043548583984375,702,702
Orig,low,bicycle,99.20635533637596,1.3585090637207031,975,975
Orig,low,bonsai,71.69350142572489,0.7762908935546875,1443,1443
Orig,low,counter,110.72641637075532,1.295924186706543,1170,1170
Orig,low,flowers,142.29894493394056,1.7107725143432617,858,858
Orig,low,garden,112.32250074129308,1.1839866638183594,936,936
Orig,low,kitchen,64.46904489281894,0.5140304565429688,1365,1365
Orig,low,room,91.72761121949776,0.9343624114990234,1521,1521
Orig,low,stump,136.57458244355752,1.5897750854492188,624,624
Orig,low,treehill,195.16644016176383,1.6617774963378906,702,702
Orig,mid,bicycle,68.81152212175596,0.7838010787963867,975,975
Orig,mid,bonsai,57.68068399642931,0.6202459335327148,1443,1443
Orig,mid,counter,92.9813633165399,0.9795427322387695,1170,1170
Orig,mid,flowers,118.06959988212463,1.4454126358032227,858,858
Orig,mid,garden,70.74178105692033,0.5270242691040039,936,936
Orig,mid,kitchen,47.20149425184343,0.34177303314208984,1365,1365
Orig,mid,room,77.68015609164729,0.7530450820922852,1521,1521
Orig,mid,stump,95.35088026551873,1.2897253036499023,624,624
Orig,mid,treehill,151.694070275721,1.389622688293457,702,702
