method,rate,scene,n_images,musiq_mean,maniqa_mean,clipiqa_mean,niqe_mean,fid
3DCR,mid,garden,24,72.80077934265137,0.3835097836951415,0.6391978412866592,2.1474626114878235,12.34298102783174
3DCR,mid,kitchen,35,68.06980863298689,0.32306750757353647,0.4068336137703487,3.744809699518802,13.611692134885686
3DCR,mid,room,39,51.59897985213842,0.26429343070739353,0.34801133855795247,3.5827651448745392,15.817499777407079
3DCR,mid,stump,16,60.36257004737854,0.26712346263229847,0.39881026931107044,3.2713683504599538,47.733195950720756
3DCR,mid,treehill,18,59.681945376925995,0.28236740496423507,0.4493534283505546,2.5060293422779614,15.609701923398319
HAC_ori,high,bicycle,25,69.0155485534668,0.3450142991542816,0.4582699239253998,2.953606872454376,12.70151642422752
HAC_ori,high,bonsai,37,59.39288814647777,0.27301499569738236,0.3894796347295916,4.90195478870069,24.967712321036686
HAC_ori,high,counter,30,56.70274327596029,0.27650513748327893,0.3915838927030563,4.419152408857966,44.37675623861321
HAC_ori,high,flowers,22,64.87925442782316,0.28660804710604926,0.535203909332102,3.1658269899467397,57.75149051614221
HAC_ori,high,garden,24,72.34884961446126,0.37612733989953995,0.5370990373194218,2.623445030299402,12.715405901241041
HAC_ori,high,kitchen,35,65.96589769635882,0.3313144530568804,0.42195176907948084,4.474054364922689,10.230091213761142
HAC_ori,high,room,39,50.60078997489734,0.28381733672741133,0.36646549976789033,5.081760241455786,21.020313554219115
HAC_ori,high,stump,16,57.77831196784973,0.2743691299110651,0.42233884520828724,3.7398945501886938,59.764478106527974
HAC_ori,high,treehill,18,54.678215662638344,0.2828681187497245,0.43194785051875645,3.3694427524573225,29.569736520528238
HAC_ori,low,bicycle,25,67.58362777709961,0.3417784595489502,0.41550272941589356,3.9526618762644103,22.349454482189856
HAC_ori,low,bonsai,37,52.85528141743428,0.25110262310182724,0.3838796003444775,5.51546791817351,45.0765072939501
HAC_ori,low,counter,30,48.943516159057616,0.24456843435764314,0.32425720791021984,5.6856953461040405,76.62984762673764
HAC_ori,low,flowers,22,59.10531789606268,0.2535863146185875,0.4704600206830285,4.108545136083561,76.9530812078973
HAC_ori,low,garden,24,69.11864598592122,0.368890892714262,0.48683617388208705,3.4618983644383796,23.315874374546667
HAC_ori,low,kitchen,35,60.09272689819336,0.3002060047217778,0.37700540593692233,4.718517240222425,23.433259146027524
HAC_ori,low,room,39,44.779259608342095,0.2707665761311849,0.3281131035242325,6.713196296776405,55.990842277410934
HAC_ori,low,stump,16,54.56002426147461,0.2735613211989403,0.3614163640886545,4.301659619036416,111.09641044479571
HAC_ori,low,treehill,18,50.496754540337456,0.2746983932124244,0.35530482563707566,4.92149576173299,48.75908398973819
HAC_ori,mid,bicycle,25,68.3319319152832,0.34439992666244507,0.45476213216781614,3.215492420747143,13.831057927491372
HAC_ori,mid,bonsai,37,58.33377827824773,0.26898494644744975,0.3918663521070738,5.058440473263841,27.733718916721728
