method,group,fid_mean,cmmd_mean,n_scenes
high_rate_size9.32,all9,39.076321440531174,0.5507734086778429,9
high_rate_size9.32,indoor,46.410153719813906,0.5310177803039551,4
high_rate_size9.32,outdoor,33.20925561710499,0.5665779113769531,5
low_rate_size1.35,all9,102.07363320737991,1.5680260128445096,9
low_rate_size1.35,indoor,83.73605809665403,1.0377168655395508,4
low_rate_size1.35,outdoor,116.74369329596061,1.9922733306884766,5
mid_rate_size3.2,all9,63.51831805723322,1.0131200154622395,9
mid_rate_size3.2,indoor,65.73208143918643,0.7897913455963135,4
mid_rate_size3.2,outdoor,61.747307351670656,1.1917829513549805,5
wdr_refine_15k_same_psnr_as_catpro,all9,63.760534061961636,0.6158749262491862,9
wdr_refine_15k_same_psnr_as_catpro,indoor,53.31296537421318,0.4210472106933594,4
wdr_refine_15k_same_psnr_as_catpro,outdoor,72.1185890121604,0.7717370986938477,5
wdr_refinement_15k_highrate,all9,29.972297030726686,0.23006068335639107,9
wdr_refinement_15k_highrate,indoor,28.921405347572687,0.18066167831420898,4
wdr_refinement_15k_highrate,outdoor,30.813010377249885,0.2695798873901367,5
wdr_refinement_15k_lowrate,all9,45.55285173050723,0.4850625991821289,9
wdr_refinement_15k_lowrate,indoor,43.33621485076564,0.3287196159362793,4
wdr_refinement_15k_lowrate,outdoor,47.3261612343005,0.6101369857788086,5
wdr_refinement_15k_midrate,all9,36.58256704600045,0.31816959381103516,9
wdr_refinement_15k_midrate,indoor,35.52904956521344,0.2511441707611084,4
wdr_refinement_15k_midrate,outdoor,37.42538103063006,0.37178993225097656,5
